,date,cases
0,2020-03-07,1.0
1,2020-03-08,1.0
2,2020-03-09,1.0
3,2020-03-10,1.0
4,2020-03-11,2.0
5,2020-03-12,2.0
6,2020-03-13,2.0
7,2020-03-14,5.0
8,2020-03-15,8.0
9,2020-03-16,12.0
10,2020-03-17,14.0
11,2020-03-18,19.0
12,2020-03-19,22.0
13,2020-03-20,29.0
14,2020-03-21,49.0
15,2020-03-22,52.0
16,2020-03-23,75.0
17,2020-03-24,95.0
18,2020-03-25,123.0
0,2020-03-25 00:00:00,155.0
0,2020-03-26 00:00:00,191.0
0,2020-03-27 00:00:00,231.0
0,2020-03-28 00:00:00,275.0
0,2020-03-29 00:00:00,323.0
0,2020-03-30 00:00:00,375.0
0,2020-03-31 00:00:00,431.0
0,2020-04-01 00:00:00,491.0
0,2020-04-02 00:00:00,555.0
0,2020-04-03 00:00:00,623.0
0,2020-04-04 00:00:00,695.0
0,2020-04-05 00:00:00,771.0
0,2020-04-06 00:00:00,851.0
0,2020-04-07 00:00:00,935.0
0,2020-04-08 00:00:00,1023.0
0,2020-04-09 00:00:00,1115.0
0,2020-04-10 00:00:00,1211.0
0,2020-04-11 00:00:00,1311.0
0,2020-04-12 00:00:00,1415.0
0,2020-04-13 00:00:00,1523.0
0,2020-04-14 00:00:00,1635.0
0,2020-04-15 00:00:00,1751.0
0,2020-04-16 00:00:00,1871.0
0,2020-04-17 00:00:00,1995.0
0,2020-04-18 00:00:00,2123.0
0,2020-04-19 00:00:00,2255.0
0,2020-04-20 00:00:00,2391.0
0,2020-04-21 00:00:00,2531.0
0,2020-04-22 00:00:00,2675.0
0,2020-04-23 00:00:00,2823.0
0,2020-04-24 00:00:00,2975.0
0,2020-04-25 00:00:00,3131.0
0,2020-04-26 00:00:00,3291.0
0,2020-04-27 00:00:00,3455.0
0,2020-04-28 00:00:00,3623.0
0,2020-04-29 00:00:00,3795.0
0,2020-04-30 00:00:00,3971.0
0,2020-05-01 00:00:00,4151.0
0,2020-05-02 00:00:00,4335.0
0,2020-05-03 00:00:00,4523.0
0,2020-05-04 00:00:00,4715.0
0,2020-05-05 00:00:00,4911.0
0,2020-05-06 00:00:00,5111.0
0,2020-05-07 00:00:00,5315.0
0,2020-05-08 00:00:00,5523.0
0,2020-05-09 00:00:00,5735.0
0,2020-05-10 00:00:00,5951.0
0,2020-05-11 00:00:00,6171.0
0,2020-05-12 00:00:00,6395.0
0,2020-05-13 00:00:00,6623.0
0,2020-05-14 00:00:00,6855.0
0,2020-05-15 00:00:00,7091.0
0,2020-05-16 00:00:00,7331.0
0,2020-05-17 00:00:00,7575.0
0,2020-05-18 00:00:00,7823.0
0,2020-05-19 00:00:00,8075.0
0,2020-05-20 00:00:00,8331.0
0,2020-05-21 00:00:00,8591.0
