,date,cases
0,2020-03-02,2.0
1,2020-03-03,2.0
2,2020-03-04,2.0
3,2020-03-05,2.0
4,2020-03-06,3.0
5,2020-03-07,7.0
6,2020-03-08,11.0
7,2020-03-09,17.0
8,2020-03-10,22.0
9,2020-03-11,31.0
10,2020-03-12,31.0
11,2020-03-13,41.0
12,2020-03-14,65.0
13,2020-03-15,97.0
14,2020-03-16,118.0
15,2020-03-17,142.0
16,2020-03-18,193.0
17,2020-03-19,282.0
18,2020-03-20,482.0
19,2020-03-21,552.0
20,2020-03-22,620.0
21,2020-03-23,800.0
22,2020-03-24,1095.0
23,2020-03-25,1385.0
24,2020-03-26,1641.0
25,2020-03-27,2198.0
26,2020-03-28,2447.0
27,2020-03-29,2683.0
28,2020-03-30,3032.0
29,2020-03-31,4116.0
30,2020-04-01,4747.0
31,2020-04-02,5444.0
32,2020-04-03,5967.0
0,2020-04-03 00:00:00,6514.0
0,2020-04-04 00:00:00,7085.0
0,2020-04-05 00:00:00,7680.0
0,2020-04-06 00:00:00,8299.0
0,2020-04-07 00:00:00,8942.0
0,2020-04-08 00:00:00,9609.0
0,2020-04-09 00:00:00,10300.0
0,2020-04-10 00:00:00,11015.0
0,2020-04-11 00:00:00,11754.0
0,2020-04-12 00:00:00,12517.0
0,2020-04-13 00:00:00,13304.0
0,2020-04-14 00:00:00,14115.0
0,2020-04-15 00:00:00,14950.0
0,2020-04-16 00:00:00,15809.0
0,2020-04-17 00:00:00,16692.0
0,2020-04-18 00:00:00,17599.0
0,2020-04-19 00:00:00,18530.0
0,2020-04-20 00:00:00,19485.0
0,2020-04-21 00:00:00,20464.0
0,2020-04-22 00:00:00,21467.0
0,2020-04-23 00:00:00,22494.0
0,2020-04-24 00:00:00,23545.0
0,2020-04-25 00:00:00,24620.0
0,2020-04-26 00:00:00,25719.0
0,2020-04-27 00:00:00,26842.0
0,2020-04-28 00:00:00,27989.0
0,2020-04-29 00:00:00,29160.0
0,2020-04-30 00:00:00,30355.0
0,2020-05-01 00:00:00,31574.0
0,2020-05-02 00:00:00,32817.0
0,2020-05-03 00:00:00,34084.0
0,2020-05-04 00:00:00,35375.0
0,2020-05-05 00:00:00,36690.0
0,2020-05-06 00:00:00,38029.0
0,2020-05-07 00:00:00,39392.0
0,2020-05-08 00:00:00,40779.0
0,2020-05-09 00:00:00,42190.0
0,2020-05-10 00:00:00,43625.0
0,2020-05-11 00:00:00,45084.0
